paper_id,title,authors,year,journal,doi,citation_count,research_area,methodology,dataset_used,main_findings,limitations,relevance_to_geds,confidence,source
11,Firm-Level Simulation of the Propagation of Economic Shocks ...,,,,,,shock_propagation_theory,,,"This study focuses on supply chains, or supplier--customer networks of firms and examines how produc...",,,2,docx 'GEDS Benchmark Model Comparison' references list
12,State-dependent impulse responses in agent-based models,,,,,,agent_based_simulation,,,The paper delves into the potential of Agent-Based Models (ABM) in analysing phenomena characterized...,,,2,docx 'GEDS Benchmark Model Comparison' references list
13,EconoGNN: A graph neural network framework for temporal ...,,,,,,graph_neural_networks,,,PMC - EconoGNN contributes to the shock propagation literature by identifying structural asymmetries—labor...,,,2,docx 'GEDS Benchmark Model Comparison' references list
14,Enhancement Economic System Based-Graph Neural Network in ...,,,,,,graph_neural_networks,,,"In this study, to complete semi-supervised classification, we propose the PA-GCN model, which takes ...",,,2,docx 'GEDS Benchmark Model Comparison' references list
15,Graph Neural Network-Based Predictive Modeling for Enhanced ...,,,,,,graph_neural_networks,,,This inherent capability to model how information (or disrup- tions) propagate through a network mak...,,,2,docx 'GEDS Benchmark Model Comparison' references list
16,Analysis of financial contagion among economic sectors through ...,,,,,,financial_contagion,,,This study employs Dynamic Bayesian Networks to model sectoral interdependencies within the US econo...,,,2,docx 'GEDS Benchmark Model Comparison' references list
17,A moving-window bayesian network model for assessing systemic ...,,,,,,bayesian_networks,,,"In this paper, we first recover a time series of Bayesian networks for stock returns, which allow th...",,,2,docx 'GEDS Benchmark Model Comparison' references list
18,Analysis of Financial Contagion among Economic Sectors through ...,,,,,,financial_contagion,,,"In this paper, we aim to model the U.S. economy's sectorial interdependence using Dynamic Bayesian N...",,,2,docx 'GEDS Benchmark Model Comparison' references list
19,Systemic risk in banking ecosystems,,,,,,financial_contagion,,,"PubMed - In the run-up to the recent financial crisis, an increasingly elaborate set of financial instruments...",,,2,docx 'GEDS Benchmark Model Comparison' references list
20,Contagion in financial networks | Bank of England,,,,,,UNCERTAIN,,,"Working papers set out research in progress by our staff, with the aim of encouraging comments and d...",,,2,docx 'GEDS Benchmark Model Comparison' references list
21,Improving Epidemic Modeling with Networks,,,,,,epidemiological_models,,,"In the standard SIR model, the flow from susceptible to infected is proportional to the total number...",,,2,docx 'GEDS Benchmark Model Comparison' references list
22,Macroeconomics of Epidemics | The Review of Financial Studies,,2021,,,,epidemiological_models,,,"The Review of Financial Studies, Volume 34, Issue 11, November 2021 ... Martin S Eichenbaum, Sergio ...",,,3,docx 'GEDS Benchmark Model Comparison' references list
23,Comparative Study of TGN and TGAT for Dynamic Graph ...,,,,,,temporal_graph_learning,,,This thesis presents a comprehensive empirical comparison of TGN and TGAT using the Temporal Graph B...,,,2,docx 'GEDS Benchmark Model Comparison' references list
24,TGB 2.0: A Benchmark for Learning on Temporal ...,,,,,,UNCERTAIN,,,"Recently, the Temporal Graph Benchmark was introduced for temporal graph learning, consisting of lar...",,,2,docx 'GEDS Benchmark Model Comparison' references list
25,T-GRAB: A Synthetic Diagnostic Benchmark for Learning ...,,,,,,UNCERTAIN,,,Dynamic graph learning methods have recently emerged as powerful tools for modelling relational data...,,,2,docx 'GEDS Benchmark Model Comparison' references list
26,Temporal Graph Benchmark for Machine Learning on ...,,,,,,temporal_graph_learning,,,"We present the Temporal Graph Benchmark (TGB), a collection of challenging and diverse benchmark dat...",,,2,docx 'GEDS Benchmark Model Comparison' references list
27,Benchmarking Edge Regression on Temporal Networks,,,,,,UNCERTAIN,,,Abstract. Benchmark datasets and task definitions in temporal graph learning are limited to dynamic ...,,,2,docx 'GEDS Benchmark Model Comparison' references list
28,"Integrating XGBoost, LSTM, and Random Forest Algorithms for ...",,,,,,machine_learning_crisis_prediction,,,This study thoroughly examined the use of different machine learning models to predict financial dis...,,,2,docx 'GEDS Benchmark Model Comparison' references list
29,Machine Learning Algorithms for Early Warning Systems: Predicting ...,,,,,,machine_learning_crisis_prediction,,,"The robust predictive accuracy of XGBoost and Random Forest, as evidenced by their high AUC scores a...",,,2,docx 'GEDS Benchmark Model Comparison' references list
30,Building a composite early warning index for financial market crises ...,,,,,,UNCERTAIN,,,"This study critically tests the predictive performance of models such as random forests and XGBoost,...",,,2,docx 'GEDS Benchmark Model Comparison' references list
31,Enhancing economic cycle forecasting based on interpretable ...,,,,,,UNCERTAIN,,,"In comparison experiment I, the proposed MOLA-XGBoost outperforms the benchmark models in terms of p...",,,2,docx 'GEDS Benchmark Model Comparison' references list
32,COMPARISON OF BOOSTING AND RANDOM FOREST MODELS ...,,,,,,machine_learning_crisis_prediction,,,"This research paper delivers an exhaustive analysis of predictive models for bank failures, a subjec...",,,2,docx 'GEDS Benchmark Model Comparison' references list
33,The Application of Monte Carlo Simulation for Risk and Behavior ...,,,,,,monte_carlo_simulation,,,This paper explores the potential of Monte Carlo simulation techniques for analyzing risk and behavi...,,,2,docx 'GEDS Benchmark Model Comparison' references list
34,Monte Carlo Simulation & Analysis: Methods and Risk Aplications,,,,,,monte_carlo_simulation,,,"Formalized in project risk analysis literature, Monte Carlo Simulation enables organizations to quan...",,,2,docx 'GEDS Benchmark Model Comparison' references list
35,SECTORIAL PRICE SHOCK PROPAGATION VIA INPUT-OUTPUT ...,,,,,,input_output_economics,,,"This paper presents an input-output framework, which also incorporates novel elements inspired by ne...",,,2,docx 'GEDS Benchmark Model Comparison' references list
36,"Liaisons dangereuses: Increasing connectivity, risk sharing, and systemic risk",,,,,,UNCERTAIN,,,"By Stefano Battiston, Domenico Delli Gatti, Mauro Gallegati, Bruce Greenwald and Joseph Stiglitz; Ab...",,,5,docx 'GEDS Benchmark Model Comparison' references list; cross-ref to papers_catalog.csv id=7
37,Econometric Methods and Monte Carlo Simulations for Financial ...,,,,,,monte_carlo_simulation,,,Results reveal that: (i) no model has consistent performance in both volatile and stable mar- ket co...,,,2,docx 'GEDS Benchmark Model Comparison' references list
38,Modeling loss-propagation in the global supply network,,,,,,shock_propagation_theory,,,"Here, we introduce the numerical agent-based model acclimate designed to analyze the cascading of ec...",,,5,docx 'GEDS Benchmark Model Comparison' references list; cross-ref to papers_catalog.csv id=15
39,COVID‐19: A multiwave SIR‐based model for learning waves,,,,,,epidemiological_models,,,"We propose a novel multiwave susceptible–infected–recovered (SIR) model, which can detect and model ...",,,2,docx 'GEDS Benchmark Model Comparison' references list
40,Input Specificity and the Propagation of Idiosyncratic Shock,,,,,,shock_propagation_theory,,,This article examines whether firm-level idiosyncratic shocks propagate in production networks. We i...,,,5,docx 'GEDS Benchmark Model Comparison' references list; cross-ref to papers_catalog.csv id=16
41,The Network Origins of Aggregate Fluctuations,,,,,,UNCERTAIN,,,"This paper argues that, in the presence of intersectoral input–output linkages, mi- croeconomic idio...",,,5,docx 'GEDS Benchmark Model Comparison' references list; cross-ref to papers_catalog.csv id=1
