perplexity_slug,engine_slug,geds_node,target_class,value_pct,baseline_type,confidence,usability,status,source,measurement_window,note
vietnam-covid-lockdown-2021,vietnam-covid-lockdown-2021,VNM:electronics,national_index_proxy,0.035,yoy,medium,national_proxy,measured,GSO Vietnam IIP (not sector-specific),Q3 2021,"National industrial production index, not electronics-specific."
covid-semiconductor-2020-2021,covid-semiconductor-2020-2021,TWN:semiconductors,source_sector_output,,n/a,n/a,none,null,Taiwan DGBAS / digi.taiwan.gov,2020,"Taiwan semi output GREW +20.7% YoY in 2020 — NO source-side production decline. The shock was demand/allocation, not output destruction; the real target is the DOWNSTREAM auto loss (engine already uses 0.115)."
auto-chip-shortage-2021,auto-chip-shortage-2021,TWN:semiconductors,source_sector_output,,n/a,n/a,none,null,(no government statistics agency),2021,No official agency isolated a US auto peak-loss % attributable to chips alone — all public figures are consultant estimates/guidance ranges.
chichi-earthquake-1999,taiwan-chichi-earthquake-1999,TWN:semiconductors,source_sector_output,,n/a,n/a,none,null,TSMC disclosures (EDN); no Taiwan MOEA/DGBAS monthly index for 1999,Sep 1999,"TSMC disclosed ~2-3 weeks lost production, but no official monthly semiconductor production index exists for Sep 1999."
us-china-tariffs-2019,us-china-tariffs-2019,CHN:electronics,source_sector_output,,n/a,n/a,none,null,Customs export VALUE data (businessreport),Sep 2019,Export VALUE fell (-3.2% overall / -22% to US) but NBS production VOLUME for electronics kept GROWING — the original target conflated trade value with output.
henan-floods-2021,henan-floods-2021,CHN:electronics,source_sector_output,,n/a,n/a,none,null,(no NBS/MIIT sector figure),Jul 2021,Short-lived (days); no sector-specific production-loss % published.
rhine-drought-2022,rhine-drought-2022,DEU:automotive,logistics_throughput,,n/a,n/a,none,null,Destatis annual waterway freight (-6.4%),2022,Only an ANNUAL waterway-freight figure exists; no peak-month throughput % published by CCNR for 2022.
la-port-congestion-2021,us-west-coast-ports-2021,USA:shipping,facility_throughput,,n/a,n/a,none,null,Port of LA FY2020/21 record 10.9M TEU (+21%),2021,"Throughput was NOT lost, only delayed (record TEU handled). peak_throughput_loss_pct is conceptually inapplicable — this is a latency shock, not a volume shock."
hokkaido-earthquake-2018,hokkaido-earthquake-2018,JPN:automotive,source_sector_output,,n/a,n/a,none,null,BOJ noted economic pressure; no METI sector %,Sep 2018,No METI semiconductor/electronics peak-output % for Hokkaido Sep 2018 published.
gfc-auto-collapse-2008-2009,gfc-auto-collapse-2008-2009,USA:automotive,source_sector_output,0.473,yoy,high,direct,measured,"US Federal Reserve G.17 Statistical Release, 2009-04-15, Table 3 Motor Vehicle Assemblies (2008 avg SAAR 8.67M -> Q1 2009 avg SAAR 4.57M)",Q1 2009,USA SAAR trough vs 2008 annual average; loss=(8.67-4.57)/8.67=0.473 [DERIVED from cited Fed SAAR figures]. Engine's global observed=0.13 is OICA worldwide YoY; this is the USA node-level peak.
ukraine-war-harness-2022,ukraine-war-harness-2022,DEU:automotive,source_sector_output,0.299,yoy,high,direct,measured,"VDA monthly series (Domestic Production, passenger cars), in repo as data/raw/external/vda_germany_monthly_2026-07.xlsx: Germany Mar 2022 = 265329 vs Mar 2021 = 378669",Mar 2022,"Peak monthly YoY decline of German passenger-car domestic production during the Ukrainian wire-harness stoppage. Feb 2022 is +4.1% (invasion began 24 Feb, only ~4 days affected), Mar 2022 is the first full month and the trough; Apr recovers to -13.3%. Extraction validated against the already-published EU-energy target on the same series (Oct 2021 vs Oct 2020 reproduces 0.443 exactly). Against a 2019 pre-COVID base the March drop is 0.415, but yoy is the convention used by every other row here, so 0.299 is the comparable figure."
texas-winter-storm-2021,texas-winter-storm-2021,USA:semiconductors,national_index_proxy,0.010,mom_seasonally_adjusted,medium,national_proxy,measured,"Federal Reserve G.17, Semiconductor and other electronic component (NAICS 3344), seasonally adjusted, in repo as data/raw/external/frb_g17_industrial_production.csv: Feb 2021 = 119.11 vs Jan 2021 = 120.32",Feb 2021,"NOT USABLE AS A DIRECT TARGET, recorded as a proxy; supersedes the previous status=null row for this event, whose reason is preserved here. The Batch 12 finding stands: no agency publishes a monthly output index for the specific Austin fabs, so there is no clean source-sector target. What IS measurable is the national index, and it barely moves — the storm idled NXP, Samsung and Infineon Austin, but those are a small share of national NAICS 3344 capacity, so the index falls only 1.0% MoM SA (119.11 in Feb 2021 vs 120.32 in Jan). Year-over-year the series is POSITIVE (+6.3% in Feb 2021) because 2021 was a semiconductor boom, which is why a yoy read would be meaningless here. The month is additionally confounded with the ongoing global chip shortage. Downstream motor vehicles (NAICS 3361-3) fell 9.3% MoM SA in the same month, but that is not attributable to Uri alone either."
