dataset_id,dataset_name,provider,category,description,coverage_start,coverage_end,update_frequency,geographic_scope,variables,format,api_available,download_url,citation,limitations,confidence
11,IMF Financial Soundness Indicators (FSI),International Monetary Fund,macroeconomics,"Indicators of soundness of financial institutions: capital adequacy, asset quality, earnings, liquidity. Core + additional indicators.",2005,,Quarterly,130+ countries,"Capital adequacy ratio, NPL ratio, return on assets, return on equity, liquidity ratio, bank leverage, loan-to-deposit ratio","CSV, SDMX",Yes,https://data.imf.org/en/datasets/IMF.STA:FSIC,International Monetary Fund. Financial Soundness Indicators (FSI). data.imf.org,Significant reporting lag (up to 12 months); coverage varies substantially across jurisdictions,4
12,"World Bank Commodity Prices — ""Pink Sheet""",World Bank,macroeconomics,"Monthly spot prices for 72 commodities: energy, metals, agriculture. Historical going back to 1960. Price forecasts twice yearly.",1960,,Monthly (2nd business day),Global (commodity prices),"Crude oil (Brent, WTI, Dubai), natural gas, coal, gold, copper, iron ore, wheat, maize, soybeans, coffee, sugar, fertilizers","XLS, PDF",,https://www.worldbank.org/en/research/commodity-markets,World Bank. Commodity Markets. Pink Sheet. worldbank.org/en/research/commodity-markets,Spot prices only; no futures or options data; limited sectoral breakdown,3
13,IMF Primary Commodity Price System (PCPS),International Monetary Fund,macroeconomics,Monthly commodity price indices (fuel and non-fuel) and actual market prices. Feeds into IMF forecasting models.,1992,,Monthly,Global,"Energy index, non-fuel index, metals index, food index, beverage index, agricultural raw materials; actual prices for 60+ commodities","CSV, SDMX",Yes,https://data.imf.org/en/datasets/IMF.RES:PCPS,International Monetary Fund. Primary Commodity Price System (PCPS). data.imf.org,Monthly frequency; no granular product-level breakdown beyond top-line categories,4
14,NY Fed Global Supply Chain Pressure Index (GSCPI),Federal Reserve Bank of New York,supply_chain,"Composite index of global supply chain pressures based on container/bulk shipping costs, airfreight, and manufacturing PMI surveys. Expressed in standard deviations from historical mean.",1997,,Monthly (10 AM ET release),Global aggregate,"GSCPI value (std deviations), Baltic Dry Index contribution, Harpex contribution, airfreight contribution, manufacturing PMI components (delivery times, backlogs, inventories)",XLSX (direct download),No,https://www.newyorkfed.org/medialibrary/research/interactives/gscpi/downloads/gscpi_data.xlsx,"Benigno, G. et al. (2022). ""The GSCPI: A New Barometer of Global Supply Chain Pressures."" NY Fed Staff Report No. 1017",Single global index — does not disaggregate by region or sector; based on mostly US/European inputs,3
15,World Bank Global Supply Chain Stress Index (GSCSI-M),World Bank,supply_chain,"Port-centric metric of delayed container shipping capacity using AIS tracking data. Provides port, country, regional, and global stress levels in TEUs.",2014,,Monthly,Global (500+ major ports),"Stalled ship capacity (TEUs), port-level stress score, country-level aggregation, regional aggregation, GSCSI composite",CSV (via World Bank dashboard),,https://www.worldbank.org/en/data/interactive/2025/04/08/global-supply-chain-stress-index,"Arvis, J.-F., Rodrigue, J.-P., Ulybina, D. & Rastogi, C. (2026). ""A metric of global maritime supply chain disruptions: The GSCSI-M."" Journal of Transport Geography 131",Port-centric; based on Panamax+ vessels only; AIS coverage gaps in some regions,3
16,OECD Trade in Value Added (TiVA),OECD / WTO,supply_chain,Measures the value added by each country in the production of goods and services that are consumed worldwide. Reveals true trade dependencies vs. gross trade flows.,1995,2020,Periodic (~3 yr cycle),"76 economies, 45 ISIC Rev.4 industries","Domestic value added in exports, foreign value added content, backward/forward GVC participation, bilateral value-added linkages","CSV, XLSX",Yes,https://www.oecd.org/en/data/datasets/trade-in-value-added.html,OECD (2023). Trade in Value Added (TiVA) Database. doi:10.1787/trade-data-en,Significant publication lag (3–4 years); 2020 is latest coverage; does not capture recent GVC restructuring,3
17,OECD Inter-Country Input-Output (ICIO) Tables,OECD,supply_chain,Annual symmetric input-output tables for 76 economies × 45 sectors. The underlying database for TiVA. Used for supply-chain propagation modeling.,1995,2022,Periodic (~3 yr cycle),"76 economies, 45 industries","Intermediate flows by sector-country pair, final demand, value added, taxes and subsidies, gross output","CSV (zipped), XLSX",Yes,https://www.oecd.org/en/data/datasets/inter-country-input-output-tables.html,"OECD (2023). ""Development of the OECD Inter-Country Input-Output database."" OECD STI Working Paper 2023/08",3–4 year publication lag; Chinese and Mexican tables have special disaggregation requiring aggregation,4
18,CEPII GeoDep — Trade Dependency Database,CEPII,supply_chain,"Identifies critical import dependencies at HS6 product level, specifies strategic sectors, and flags leading exporters.",2018,2023,Annual,"200+ countries, all HS6 products","Dependency indicator, strategic sector flag, leading exporter flag, concentration index, share of imports from top supplier","CSV, Stata",No,https://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp,CEPII (2024). GeoDep Database. cepii.fr,Binary dependency flags based on threshold rules; methodology choices affect results,2
19,World Bank Logistics Performance Index (LPI 2.0),World Bank,logistics,"Benchmarks trade logistics performance across countries using shipment-level tracking data (AIS, aviation, postal). Replaced survey-based LPI in 2025 edition.",2007,2023,Biennial,160+ countries,"Overall LPI score, customs efficiency, infrastructure quality, international shipments, logistics competency, tracking/tracing, timeliness; speed and connectivity sub-indices","CSV, Excel",Yes,https://lpi.worldbank.org,World Bank (2025). Logistics Performance Indicators 2.0. lpi.worldbank.org,Only biennial; 2025 methodology change breaks comparability with 2007–2023 series; subjective (survey-based edition),3
20,OECD Composite Leading Indicators (CLI),OECD,logistics,Monthly early-warning indicators designed to anticipate turning points in economic activity. Includes OECD-wide and country-specific amplitudes of business cycles.,1955,,Monthly,38 OECD + 6 major non-member economies,"CLI, trend-restored CLI, normalised CLI, business confidence index, consumer confidence index","CSV, XML, JSON",Yes,https://data-explorer.oecd.org,OECD (2026). Composite Leading Indicators (MEI). oecd.org/en/data,Not directly about logistics; useful for early-warning of demand-driven supply chain pressures,4
21,US International Trade Administration (ITA) Trade Data,US International Trade Administration,logistics,"US export and import statistics, trade finance, and trade facilitation data. Country/sector/product breakdown.",2002,,Monthly,"USA (reporter), 200 partner countries","US goods exports/imports by country and industry, trade deficits, tariff codes, trade finance indicators","JSON, CSV",Yes,https://www.trade.gov/data,US Department of Commerce. ITA Trade Data. trade.gov/data,US-centric; limited to one reporter country,3
22,IMF PortWatch,International Monetary Fund,shipping,"Daily port-level vessel traffic data and trade estimates derived from AIS (Automatic Identification System) data covering 1,000+ global ports. Updated weekly.",2015,,Daily (updated Tuesdays 9 AM ET),"1,000+ global ports","Vessel calls by type, cargo TEUs, daily port activity index, trade flow estimates by commodity type, transit time, port congestion indicator","CSV, GeoJSON, KML, PNG",Yes,https://portwatch.imf.org,IMF PortWatch Team. IMF PortWatch. portwatch.imf.org. Cite as: IMF-PortWatch@IMF.ORG,AIS signals can be spoofed or missed; dark shipping not captured; some ports have sparse signals,4
23,UNCTAD Liner Shipping Connectivity Index (LSCI),UNCTAD / MDS Transmodal,shipping,"Quarterly index measuring how well countries are connected to global container shipping networks. Based on 5 components: number of ships, container capacity, max vessel size, services, companies.",2006,,Quarterly,190+ countries,"LSCI score, number of ships deployed, container carrying capacity, max vessel size, number of services, number of companies",CSV,Yes,https://unctadstat.unctad.org/datacentre/dataviewer/US.LSCI,UNCTAD (2026). Liner Shipping Connectivity Index. unctadstat.unctad.org. Based on MDS Transmodal data,Does not capture port efficiency or inland logistics; index value not additive across countries,4
24,Kiel Trade Indicator (KTI),Kiel Institute for the World Economy (IfW),shipping,Real-time trade flow estimates for 75 countries using AI-based container ship tracking (2 million+ ship positions/year from Fleetmon.com). Price-adjusted.,2017,,Bimonthly (bi-weekly),"75 countries and regions, 500+ ports","Price-adjusted import/export estimates, container ship port calls, cargo loaded/unloaded estimates, trade growth rates",CSV (via Kiel website),No,https://www.ifw-kiel.de/topics/trade-policy/kiel-trade-indicator/,"Stamer, V. (2021). Kiel Trade Indicator. IfW Kiel. ifw-kiel.de",~6 week lead vs. official statistics; estimation uncertainty; limited backward history; model-dependent conversion of draught to cargo,1
25,Baltic Exchange Indices (via FRED),Baltic Exchange / St. Louis Fed,shipping,"Freight rate benchmarks: Baltic Dry Index (BDI), Baltic Capesize Index, Baltic Tanker Clean/Dirty routes.",1985,,Daily (BDI); weekly for sub-indices,Global,"BDI, Baltic Capesize Index (BCI), Baltic Panamax Index (BPI), Harpex container index, freight rate per route (e.g., Capesize C5 Brazil–China)","CSV, JSON, XML",Yes,https://fred.stlouisfed.org,Federal Reserve Bank of St. Louis. FRED Economic Data. fred.stlouisfed.org,Baltic Exchange primary data is proprietary and paid; FRED provides daily index only; route-specific rates require paid subscription,4
26,SIA Factbook (Annual),Semiconductor Industry Association (SIA),semiconductors,"Annual factbook covering global semiconductor market size, US market share, R&D investment, employment, and 24-year trend data.",2000,2024,Annual,"Global, US-specific","Global semiconductor sales (USD billions), US market share (%), regional breakdown (Americas, Europe, Japan, APAC), R&D expenditure, capex, employment","PDF (free), underlying data XLS (members only for full databook)",No,https://www.semiconductors.org/data-resources/market-data/sia-databook/,Semiconductor Industry Association (2025). 2025 SIA Factbook. semiconductors.org,Full databook requires SIA membership; PDF figures not machine-readable; sales data rather than production/capacity data,2
27,WSTS Global Semiconductor Sales Data,World Semiconductor Trade Statistics (WSTS),semiconductors,Monthly global semiconductor unit sales and revenues by product category and region. Published monthly with ~45-day lag.,1987,,Monthly,"Global, 4 regions (Americas, Europe, Japan, Asia-Pacific)","Total semiconductor sales (USD millions), by product category (logic, memory, analog, discrete, sensors), by region",CSV (via subscription),,https://www.wsts.org,World Semiconductor Trade Statistics (2026). WSTS Market Statistics. wsts.org,Full historical data requires WSTS membership; free monthly press releases provide only aggregate totals,2
28,CEPII PLAID — Product-Level AI-Derived Indicators,Kiel Institute + CEPII,semiconductors,"AI-generated product-level indicators at HS6 level including semiconductor/microchip content classification, perishability, hazardous materials flag. Open versioned database.",1992,,Versioned releases,"All HS6 codes (~5,000 products), global","Rauch classification, UN BEC categories, perishability class, hazardous materials flag, microchip/semiconductor content flag, 3TG conflict-mineral flag",CSV (open access),No,https://www.kielinstitut.de/publications/plaid-product-level-ai-derived-indicators-database-for-international-trade-19688/,Kiel Institute (2026). PLAID: Product-Level AI-Derived Indicators Database. ifw-kiel.de,AI-generated — may contain classification errors; beta as of 2026,2
29,UN Comtrade HS Chapter 85 (Electrical Machinery / Semiconductors),UN Statistics Division,semiconductors,"Bilateral trade in semiconductors, integrated circuits, and electronic components using HS chapter 85 / sub-headings 8541–8542.",1988,2024,Annual/Monthly,200 countries,"HS code 8541 (diodes, transistors), 8542 (ICs), value (USD), quantity, importer, exporter, year","CSV, JSON",Yes,https://comtradeplus.un.org,United Nations. UN Comtrade Database (HS 8541–8542). comtradeplus.un.org,As per UN Comtrade limitations; country self-reporting inconsistencies for high-tech products,4
30,EIA International Energy Statistics,US Energy Information Administration,energy,"Comprehensive global energy: oil, gas, coal, electricity, renewables — production, consumption, trade, prices, reserves.",1980,,Monthly/Annual,200+ countries,"Crude oil production/consumption/stocks/prices, natural gas production/trade/prices, coal statistics, electricity generation by source, petroleum product prices, proved reserves","CSV, Excel, JSON",Yes,https://www.eia.gov/international/data/world,US Energy Information Administration. International Energy Statistics. eia.gov/international,US-focused primary data; international data sourced from IEA/IEA for non-US countries with potential lags,4
33,Bruegel Energy Policy Tracker,Bruegel Institute,energy,Tracks national fiscal policy responses to energy price shocks; quantifies government spending on energy subsidies and relief packages.,2021,,Periodic updates,EU27 + UK + select global,"Government energy support spending (€ billion/% GDP), policy instruments (price caps, subsidies, windfall taxes), country breakdown",CSV (dashboard download),No,https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices,Bruegel (2026). National Policies to Shield Consumers from Rising Energy Prices. bruegel.org,"Limited to government policy response data, not energy prices themselves",1
34,FRED — Federal Reserve Economic Data,Federal Reserve Bank of St. Louis,financial,"800,000+ economic and financial time series: interest rates, exchange rates, equity indices, bond yields, monetary aggregates, credit spreads.",1913,,Daily/Weekly/Monthly,US primary; global series included,"S&P 500, VIX, 10yr Treasury yield, federal funds rate, exchange rates, credit spreads, monetary base, bank lending rates, LIBOR/SOFR, CPI, PPI","CSV, JSON, XML",Yes,https://fred.stlouisfed.org,Federal Reserve Bank of St. Louis. FRED Economic Data. fred.stlouisfed.org,US-centric primary coverage; international series may be sourced from other providers with different update timing,5
35,"BIS Statistics — Banking, Debt, Derivatives",Bank for International Settlements,financial,"Global banking statistics, debt securities, OTC derivatives, credit-to-GDP, policy rates, effective exchange rates.",,,Quarterly/Monthly,44 reporting countries + global aggregates,"Locational banking statistics, consolidated banking statistics, debt securities (domestic/international), OTC derivatives (notional/gross), credit-to-GDP gaps, policy rates (daily/monthly), FX rates","CSV, SDMX (bulk downloads)",Yes,https://data.bis.org/bulkdownload,Bank for International Settlements. BIS Statistics. data.bis.org,Banking statistics based on reporting country data which may not capture offshore centers fully; some data confidential at bilateral level,4
37,IMF International Financial Statistics (IFS),International Monetary Fund,financial,"Comprehensive country-level financial statistics: monetary accounts, balance of payments, exchange rates, international reserves, interest rates.",1948,,Monthly,200 countries,"Exchange rates (nominal, real), international reserves, money supply (M1/M2), interest rates, CPI, BoP current account, financial account, capital flows","CSV, SDMX",Yes,https://data.imf.org,International Monetary Fund. International Financial Statistics (IFS). data.imf.org,Monthly data may have 3–6 month lag for some countries; exchange rate data quality varies for countries with dual rates,4
38,FRED — CPI and PCE Series,Federal Reserve Bank of St. Louis,macroeconomics,"US Consumer Price Index (CPI-U, CPI-W, Core CPI) and Personal Consumption Expenditures (PCE). Also hosts OECD CPI series for international data.",1913,,Monthly,US primary; OECD countries via FRED,"CPI-U, Core CPI, PCE, Core PCE, energy CPI, food CPI, shelter CPI, medical care CPI, used cars CPI, OECD CPI all countries","CSV, JSON, XML",Yes,https://fred.stlouisfed.org,Federal Reserve Bank of St. Louis. FRED Economic Data. fred.stlouisfed.org,US headline series; international via FRED may have different methodologies than source countries,4
39,OECD Consumer and Producer Price Indices,OECD,macroeconomics,Harmonized CPI and PPI for OECD + G20 + OECD accession countries. Monthly headline and core inflation; sectoral breakdowns.,1955,,Monthly,38 OECD + ~20 partner economies,"Headline CPI, core CPI (ex-food and energy), energy CPI, food CPI, housing CPI, PPI for manufacturing (total and domestic), PPI by activity","CSV, XML, JSON",Yes,https://data-explorer.oecd.org,OECD (2026). Consumer and Producer Price Indices. oecd.org/en/data,Methodology differences across countries despite harmonization efforts; limited sub-annual breakdown for smaller OECD members,4
40,IMF World Economic Outlook — Inflation Forecasts,IMF,macroeconomics,"CPI inflation forecasts and historical data by country, from WEO database. Both actual and IMF staff projections.",1980,,Biannual,~200 countries,"Annual average CPI inflation, end-of-period CPI, GDP deflator, PCE inflation (select countries)","TSV/XLS, SDMX",Yes,https://www.imf.org/en/publications/sprolls/world-economic-outlook-databases,IMF. WEO Database. imf.org,Annual frequency only in WEO; some high-inflation country data reported as estimates,5
41,FAO Food Price Index (FFPI),UN Food and Agriculture Organization,macroeconomics,"Monthly composite food price index covering cereals, oilseeds, dairy, meat, sugar. Used to monitor global food markets.",1990,,Monthly,Global aggregate + commodity sub-indices,"FFPI composite, cereals index, oilseeds index, dairy index, meat index, sugar index","CSV, Excel",Yes,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,FAO. Food Price Index. fao.org/worldfoodsituation/foodpricesindex/en,Aggregate index only; no bilateral or country-specific breakdowns; commodity basket based on trade weights,3
42,Global Economic Policy Uncertainty Index (GEPU),"Baker, Bloom & Davis / policyuncertainty.com",geopolitical,GDP-weighted average of national EPU indices for 18 countries. Each national index = frequency of newspaper articles with economy + policy + uncertainty keywords.,1997,,Monthly,18 major economies (GDP-weighted global),"GEPU composite, country-level EPU (22 countries), newspaper-based frequency counts, standardized score","Excel, CSV",No,https://www.policyuncertainty.com/global_monthly.html,"Baker, S., Bloom, N., & Davis, S. (2016). ""Measuring Economic Policy Uncertainty."" Quarterly Journal of Economics, 131(4):1593–1636",Based on English-language or translated media; keyword matching may miss policy uncertainty in non-Western media contexts,2
43,ACLED — Armed Conflict Location & Event Data,Armed Conflict Location & Event Data Project,geopolitical,"Geo-coded, date-specific, real-time conflict event data: battles, explosions, protests, riots, strategic developments. Widely used in economic conflict studies.",1997,,Real-time (weekly updates),230+ countries and territories,"Event type, sub-event type, country, region, administrative division, location (lat/lon), date, actors involved, fatalities, notes","CSV, Excel, GeoJSON",Yes,https://acleddata.com,"Raleigh, C. et al. (2010). ""Introducing ACLED: An Armed Conflict Location and Event Dataset."" Journal of Peace Research, 47(5):651–660",Requires registration; may undercount events in low-media-coverage areas; event taxonomy can be contested,3
44,"GDELT — Global Database of Events, Language and Tone",GDELT Project (Leetaru & Schrodt),geopolitical,"Real-time global news monitoring: 100+ billion data points from TV, print, and online media in 65+ languages. Events, themes, geographic entities, tone.",1979,,15-minute updates (GDELT 2.0),215+ countries,"Event type (CAMEO codes), actor 1/2, event action, geo-coded location, tone score, goldstein scale, source URL, theme mentions, entity counts",CSV (daily/quarterly bulk downloads),Yes,http://data.gdeltproject.org/events/index.html,"Leetaru, K. & Schrodt, P. (2013). ""GDELT: Global Database of Events, Language, and Tone."" ISA 2013",Extremely large volume (terabytes); automated extraction may produce false positives; tone measurement not validated against ground truth,3
47,GDELT Global Knowledge Graph (GKG),GDELT Project,news,"Companion to GDELT Events: maps themes, emotions, organizations, people, events mentioned in global news. Structured semantic layer over news corpus.",2015,,15-minute,Global,"Theme, person, organization, location, tone, event date, URL, wordcount, V2Counts, V2Themes, V2Tone, GCAM sentiment scores",CSV (15-min update files),Yes,http://data.gdeltproject.org/gkg/index.html,GDELT Project. GKG v2.0. gdeltproject.org,Very large data volume; text processing intensive; requires NLP pipeline to extract economic signal,3
48,GDELT Stability Index (Instability Score),GDELT Project,news,Country/region-level instability scores derived from GDELT event data. Accessible via REST API by country code.,2015,,Daily,Country-level and ADM1 regional level,"Instability score (0–10), conflict events, protest events, violence sub-scores",CSV via API,Yes,https://api.gdeltproject.org/api/,GDELT Project. GDELT Instability API. gdeltproject.org,Scores derived from news media density — areas with poor media coverage underrepresented,3
49,IMF WEO Historical Database,IMF,historical_events,All WEO vintages since 2007 available as downloadable files. Enables comparison of forecasts vs. actuals.,1980,,Archived,~200 countries,"All 45 WEO indicators with vintage history; GDP, inflation, trade, debt, fiscal","TSV (legacy), SDMX (new)",Yes,https://www.imf.org/en/publications/sprolls/world-economic-outlook-databases,IMF. WEO Databases Archive. imf.org,Download URL changes each release; must be scraped by vintage,3
50,World Bank WDI — Historical Panel,World Bank,historical_events,"Full historical WDI download: 1,400+ indicators for 217 countries from 1960. Enables construction of pre-crisis/post-crisis panels.",1960,,Quarterly (full bulk update),217 economies,All WDI indicators — see entry 9,"CSV, Excel (bulk)",Yes,https://data.worldbank.org,World Bank. WDI. databank.worldbank.org,See entry 9,4
51,GFDRR Disaster Risk Data,World Bank Global Facility for Disaster Reduction and Recovery,historical_events,"Post-disaster needs assessment (PDNA) data, damage and loss estimates for natural disasters. Country-level economic damage as % of GDP.",,,Event-triggered updates,Global (developing countries primary),"Damage (physical assets), economic losses, recovery needs, GDP %, sector breakdown (housing, infrastructure, productive, social, cross-cutting)","PDF (PDNA reports), some CSV",,https://www.gfdrr.org/en,World Bank GFDRR. Disaster Risk Data. gfdrr.org,PDNAs conducted only for major disasters in developing countries; no real-time standardized feed,2
52,EM-DAT — International Disaster Database,"Centre for Research on the Epidemiology of Disasters (CRED), Université Catholique de Louvain",historical_events,"Structured database of 22,000+ natural and technological disasters since 1900. Includes economic damage estimates.",1900,,Periodic (monthly updates),Global,"Disaster type, country, start/end date, deaths, injured, affected, homeless, total damage (USD), insured losses",CSV (free registration required),Yes,https://www.emdat.be,Guha-Sapir D. (2026). EM-DAT: The Emergency Events Database. cred.be,Economic damage estimates incomplete and inconsistent across events; reporting heavily biased toward documented events,3
53,NBER Historical Macroeconomic Data,National Bureau of Economic Research,historical_events,Extensive historical US macroeconomic data going back to the 1800s. Also hosts NBER recession dates (USREC indicator).,,,Irregular,US primary,"GDP, industrial production, price levels, interest rates, monetary aggregates, recessions dates, unemployment, trade",CSV,,https://www.nber.org/research/data,National Bureau of Economic Research. NBER Data. nber.org,US-centric; pre-1947 data involves significant estimation uncertainty,1
55,UNCTAD Review of Maritime Transport,UNCTAD,transportation,"Annual flagship report on global maritime transport markets: fleet size, port throughput, freight rates, trade volumes. Accompanying datasets released publicly.",1968,,Annual,Global,"World fleet by flag/type, port container throughput (TEU), freight rate indices, liner shipping schedules, trade volumes by sea","XLS, PDF",,https://unctad.org/research/publications,UNCTAD (2025). Review of Maritime Transport. unctad.org,Annual publication only; data lag of ~1 year; freight rate coverage limited to published indices,3
56,World Bank — Air Transport Data (WDI),World Bank / ICAO,transportation,"Air passengers carried, air freight (million ton-km), registered carrier departures. Sourced from ICAO via WDI.",1970,,Annual,200+ countries,"Air passengers carried, air freight ton-km, aircraft departures","CSV, Excel",Yes,https://data.worldbank.org/indicator/IS.AIR.PSGR,World Bank / ICAO. Air Transport Statistics. data.worldbank.org,Annual only; no airline-specific or route-specific breakdown; ICAO data submission lags,4
57,OECD Infrastructure Investment Statistics,OECD,transportation,"Annual data on transport infrastructure investment and capital stock: road, rail, inland waterways, maritime.",1995,,Annual,38 OECD countries,"Road investment (% GDP), rail investment (% GDP), capital stock by transport mode, transport network length","CSV, XML",Yes,https://data-explorer.oecd.org,OECD (2026). Infrastructure Investment Statistics. oecd.org/en/data,OECD countries only; classification differences across countries; some gaps in capital stock data,4
62,WITS — UNCTAD TRAINS Tariff & NTM Data,World Bank / UNCTAD,supply_chain,Non-tariff measures and preferential tariff rates at HS6 level enabling dependency analysis with trade barriers.,1988,2024,Annual,180+ countries,"NTM type (A-P UNCTAD classification), HS6 product, reporter, partner, tariff rate (MFN, preferential)",CSV (bulk via WITS),Yes,https://wits.worldbank.org/WITS/WITS/AdvanceQuery/RawTradeData/QueryDefinition.aspx,UNCTAD / World Bank. TRAINS Database via WITS. wits.worldbank.org,NTM data very sparse; self-reported; not all countries submit to TRAINS regularly,4
63,Atlas of Economic Complexity — Product Space,Harvard Growth Lab,supply_chain,Network of product relatedness based on revealed comparative advantage co-occurrence. Enables modeling of structural economic dependencies and shock propagation through product space.,1962,2022,Annual,250 countries,"RCA (revealed comparative advantage), product space adjacency matrix, economic complexity index (ECI), product complexity index (PCI), opportunity gain, proximity matrix",CSV,No,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/H8SFD2,"Hidalgo, C.A. & Hausmann, R. (2009). ""The Building Blocks of Economic Complexity."" PNAS, 106(26):10570–10575",Complexity indices based on export diversification; does not capture service trade; structural lags in data,2
