event_id,event_name,year_start,year_end,event_type,event_type_secondary,scope,is_scenario,affected_countries_iso3,affected_regions,affected_sectors,duration_months,gdp_impact_percent,trade_impact_percent,inflation_impact_percent,market_impact_percent,recovery_time_months,confidence,graph_nodes_affected_in_geds,shock_origin_nodes,estimated_initial_shock_strength,duration_weeks,benchmark_actual_peak_impact,benchmark_actual_total_loss,benchmark_countries_affected_count,validation_targets_v2_rows,validation_targets_expanded_rows,literature_papers_corroborating,source,peer_reviewed_evidence_count,paper_ids,has_direct_quantitative_support,best_estimate_gdp,best_estimate_trade,best_estimate_inflation,best_estimate_market,evidence_confidence
11,"Tōhoku Earthquake, Tsunami & Fukushima Nuclear Crisis",2011,2011,Natural Disaster,,regional,false,JPN;USA;DEU;FRA;ITA;ESP;NLD;POL;BEL;IDN;THA;VNM;MYS;PHL;SGP,EU;Southeast Asia,automotive;electronics;energy;chemicals;manufacturing,12,-0.900,,,20.000,,5,JPN:automotive;JPN:electronics;USA:automotive;USA:electronics;DEU:automotive;DEU:electronics;THA:automotive;THA:electronics;VNM:electronics;MYS:electronics,JPN:automotive;JPN:electronics;JPN:semiconductors,0.09,52,0.900,0.900,15,20,8,14;2,BIS Quarterly Review May 2011[^36]; IIOA/WIOD Conference Paper[^37]; ScienceDirect: Economic impact of supply chain disruptions[^38]; World Bank Document[^39]; ECB: Global economic repercussions[^40],2,P-Inoue-Todo-2016;P-Carvalho-QJE,true,-0.41,-0.35,,,5.00
12,Russia Crimea Annexation & Western Sanctions,2014,2014,Sanctions,Geopolitical,regional,false,RUS;UKR;DEU;FRA;ITA;ESP;NLD;POL;BEL;ROU;HUN;CZE,EU;Eastern Europe,energy;financial;defense;technology,,-2.200,25.000,50.000,50.000,,4,UNCERTAIN,UNCERTAIN,0.22,UNCERTAIN,2.200,,12,0,5,,NATO Review: Sanctions after Crimea[^41]; DIW Berlin: Sanctions against Russia 2014[^42]; Journal of Indo-Pacific Affairs[^43]; Expert Journals: Ten Years of Economic Sanctions[^44],,,,,,,,
13,Nepal Earthquake,2015,2015,Natural Disaster,,country,false,NPL,,construction;tourism;agriculture;energy,60,33.000,9.000,,15.000,,5,UNCERTAIN,UNCERTAIN,1.00,261,33.000,165.000,1,0,1,,World Bank Press Release June 2015[^45]; World Bank Nepal Development Update Jan 2016[^47]; ADB Initial Analysis[^46],,,,,,,,
14,China Stock Market Crash,2015,2016,Financial Crisis,,global,false,CHN,global via risk sentiment;commodity demand,financial;commodities;consumer_goods,8,6.900,30.000,,30.000,,4,CHN:consumer_goods,UNCERTAIN,0.69,35,6.900,4.600,1,0,1,,Investopedia: China's 2015 Crisis[^48]; Wikipedia: 2015–2016 Chinese Stock Market Turbulence[^50]; RIETI: Impact on Chinese Economy[^49]; SSRN: Saving China's Stock Market[^51],,,,,,,,
15,UK Brexit Referendum and Departure,2016,2020,Trade Policy,Sanctions,regional,false,GBR;DEU;FRA;ITA;ESP;NLD;POL;BEL,European Union,financial;automotive;healthcare;agriculture,48,7.000,15.000,12.500,10.000,,5,DEU:automotive,UNCERTAIN,0.70,209,7.000,28.000,8,0,1,,NBER Working Paper (Bloom et al. 2025)[^54]; CEPR VoxEU: Brexit's Slow-Burn Hit[^53]; Federal Reserve: Real Effects of Uncertainty[^55]; IMF WEO Update July 2016[^56],,,,,,,,
16,US–China Trade War,2018,2020,Trade War,,country,false,USA;CHN;VNM;MEX;KOR;TWN,,agriculture;manufacturing;technology;metals;chemicals,,2.600,14.000,0.400,20.000,,5,UNCERTAIN,UNCERTAIN,0.26,UNCERTAIN,2.600,,6,19,3,,CEPR VoxEU: Bystander Effect[^57]; World Bank: Global Reallocations from US-China Trade War[^61]; NBER: Economic Impacts of US-China Trade War[^58]; ScienceDirect[^59],,,,,,,,
17,COVID-19 Global Pandemic,2020,2021,Pandemic,,global,false,,Global,aerospace;tourism;consumer_goods;manufacturing,,-3.000,5.300,,34.000,,5,UNCERTAIN,CHN:consumer_goods,0.30,UNCERTAIN,3.000,,0,27,0,,IMF WEO April 2020[^62]; World Bank Global Economic Outlook June 2020[^63]; World Bank WDR 2022[^68]; IMF Annual Report 2020[^67]; World Bank COVID-19 Trade Review[^65],2,P-EAP-2023;P-ANU-GCubed-2023,true,-3,-7.0333,,,4.50
18,Global Semiconductor Chip Shortage,2020,2023,Semiconductor Crisis,,country,false,USA;DEU;JPN;KOR;TWN;CHN,,automotive;electronics;manufacturing;defense,30,,,30.000,,,5,USA:automotive;USA:electronics;DEU:automotive;DEU:electronics;JPN:automotive;JPN:electronics;KOR:electronics;TWN:electronics;CHN:automotive;CHN:electronics,TWN:semiconductors,UNCERTAIN,130,,,6,19,5,,S&P Global Mobility[^69]; CFR Education[^70]; Cleveland Fed Economic Commentary[^72]; ECGVA (European Vehicle Manufacturers)[^73],1,P-IMF-WP-22-061-Shipping,true,,,0.7,,4.00
19,Ever Given Suez Canal Blockage,2021,2021,Shipping Disruption,Shipping Disruption,global,false,,Global,shipping;consumer_goods;automotive;energy;agriculture,0,-0.200,13.000,,,,5,UNCERTAIN,CP:Suez,0.02,0,0.200,0.000,0,20,0,,ScienceDirect: Costs of Maritime Supply Chain Disruptions[^75]; Port Economics Management Platform[^77]; Allianz Economic Research[^74]; DownToEarth/University of Gothenburg study[^76],1,P-Hummels-Schaur-AER-2013,true,,-1.45,,,5.00
20,Post-COVID Global Supply Chain Disruption,2021,2023,Shipping Disruption,Supply-Chain Crisis,global,false,,Global,shipping;consumer_goods;manufacturing;technology,24,0.200,37.000,2.500,550.000,,5,UNCERTAIN,UNCERTAIN,0.02,104,0.200,0.400,0,0,0,,NBER Working Paper 32098[^66]; CEPR: Supply Chain Pressures & Inflation[^79]; IMF WEO January 2022[^78]; Federal Reserve NY[^80],,,,,,,,
21,Russia Invasion of Ukraine & Global Sanctions,2022,,War,Sanctions;Energy Crisis,regional,false,UKR;RUS;DEU;FRA;ITA;ESP;NLD;POL;BEL,EU;Global,energy;agriculture;defense;shipping;financial,,14.000,34.000,10.000,45.000,,5,UNCERTAIN,UKR:agriculture,1.00,UNCERTAIN,14.000,,9,29,4,,Nature Scientific Reports (cascading socio-economic impacts)[^81]; OECD: Assessing Impact of Russia's War[^82]; OECD-FAO Agricultural Outlook 2022-2031[^84]; FAO: Russia-Ukraine war impact on food markets[^83]; IMF: Surging Energy Prices in Europe[^87]; Bruegel Energy Policy Response[^86],2,P-IMF-WP-24-039;P-IMF-FD-2022,true,-1.5,,,,3.50
22,European Natural Gas & Energy Crisis,2021,2023,Energy Crisis,,regional,false,DEU;FRA;ITA;ESP;NLD;POL;BEL;GBR;NOR,EU27,manufacturing;energy,24,3.000,10.000,10.600,,,5,UNCERTAIN,DEU:energy,0.30,104,3.000,6.000,9,24,1,,CEPR: European Energy Crisis[^85]; Ecologic Institute[^89]; IMF Working Paper: Surging Energy Prices[^87]; European Commission Germany Forecast[^92]; Bruegel Policy Response Tracker[^86]; OECD: Energy Prices Spiking[^93],2,P-IMF-WP-24-027-EnergyResilience;P-SUERF-Energy-2022,true,-0.7,-3.5,0.4,,3.50
23,Post-COVID Global Inflation Surge & Central Bank Tightening,2021,2024,Financial Crisis,,regional,false,GBR;DEU;FRA;ITA;ESP;NLD;POL;BEL,Global;most severely: USA;EU;emerging markets with USD-denominated debt,real_estate;financial;consumer_goods,18,1.400,,9.100,0.500,,5,UNCERTAIN,UNCERTAIN,0.14,78,1.400,2.100,8,0,5,,NBER: Post-Pandemic Global Inflation[^97]; CEPR VoxEU: Monetary Policy Responses[^98]; Brookings: COVID Inflation Supply Shock[^99]; RBA Statement on Monetary Policy[^100],,,,,,,,
24,China Real Estate & Evergrande Crisis,2021,2025,Financial Crisis,,global,false,CHN,commodity exporters via demand channel,real_estate;construction;financial;metals;consumer_goods,,27.500,,,99.000,,4,CHN:consumer_goods,CHN:real_estate,1.00,UNCERTAIN,27.500,,1,0,1,,CFR: Does Evergrande's Collapse Threaten China's Economy?[^101]; BBC News[^104]; HedgePoint Global[^103]; CNBC (Evergrande)[^102]; ScienceDirect: China's GDP at Risk[^105],,,,,,,,
25,Sri Lanka Sovereign Default & Economic Collapse,2022,2022,Financial Crisis,,country,false,LKA,,government;financial;energy;agriculture;tourism,,8.700,12.000,70.000,80.000,,5,UNCERTAIN,UNCERTAIN,0.87,UNCERTAIN,8.700,,1,0,1,,IMF eLibrary: Sri Lanka's Sovereign Debt Restructuring[^106]; ScienceDirect[^107]; APF Canada[^108]; Bretton Woods Project[^109]; SAIS Review[^110],,,,,,,,
26,Red Sea Houthi Attacks / Shipping Crisis,2023,2025,Shipping Disruption,,regional,false,EGY;KEN;ETH;TZA;UGA;YEM,Global;most affected: EU;East Africa,shipping;consumer_goods;automotive;energy;agriculture,24,50.000,57.500,,,,5,UNCERTAIN,CP:Suez,1.00,104,50.000,100.000,6,0,5,,IMF Blog: Red Sea Attacks Disrupt Global Trade[^112]; European Parliament EPRS Brief[^114]; Atlas Institute[^111]; The Guardian (IfW Kiel data)[^113],,,,,,,,
27,Panama Canal Drought & Traffic Restrictions,2023,2024,Natural Disaster,Shipping Disruption,country,false,USA;CHN;JPN;KOR;PAN,,shipping;automotive,18,73.000,32.000,,,,4,USA:shipping;USA:automotive;CHN:automotive;JPN:automotive,PAN:shipping,1.00,78,73.000,109.500,5,0,1,,IMF Blog: Red Sea Attacks (dual disruption)[^112]; CBC News[^117]; CTV News[^115]; SpendEdge[^118]; CNBC (long-term drought risk)[^116],,,,,,,,
28,"Trump 2025 ""Liberation Day"" Tariffs & Trade War",2025,2026,Trade War,,regional,false,USA;CHN;DEU;FRA;ITA;ESP;NLD;POL;BEL;CAN;MEX;VNM;IND,EU,manufacturing;agriculture;consumer_goods;technology;automotive,,-1.400,30.000,90.000,15.000,,4,USA:consumer_goods;USA:automotive;CHN:consumer_goods;CHN:automotive;DEU:automotive;MEX:automotive;IND:consumer_goods,UNCERTAIN,0.14,UNCERTAIN,1.400,,13,0,2,,Reuters/Brookings[^60]; CEPR VoxEU[^94]; BBC News[^120]; OECD Economic Outlook 2025[^119]; SSRN: Global Economic Effects of Trump's 2025 Tariffs[^121],,,,,,,,
29,Haiti Earthquake,2010,2010,Natural Disaster,,global,false,HTI,regional aid economy,,120,120.000,,,,120,5,UNCERTAIN,UNCERTAIN,1.00,521,120.000,1200.000,1,0,1,,World Bank GFDRR PDNA[^123]; World Bank Press Release[^125]; GlobalEdge/IMF data[^122]; HELDA Helsinki thesis (synthetic control)[^124],,,,,,,,
30,Global Food & Energy Crisis (Post-COVID / Ukraine),2022,2023,Energy Crisis,Financial Crisis,regional,false,NGA;ZAF;KEN;ETH;AGO;IND;PAK;BGD;LKA;BRA;MEX;ARG;COL;CHL,Sub-Saharan Africa;South Asia;Latin America;global,agriculture;chemicals;consumer_goods;energy;government,18,60.000,,23.000,,,4,IND:consumer_goods,UNCERTAIN,1.00,78,60.000,90.000,14,0,5,,World Bank Global Economic Prospects June 2025[^127]; Nature (Russia-Ukraine cascading impacts)[^81]; FAO Food Price Index (fao.org); IMF WB Export Finance Australia[^126],,,,,,,,
31,"2013 ""Taper Tantrum"" EM Currency Crisis",2013,2013,Financial Crisis,,country,false,BRA;IND;IDN;ZAF;TUR,,,,15.000,,,,,3,UNCERTAIN,UNCERTAIN,1.00,UNCERTAIN,15.000,,5,0,5,,Federal Reserve[^128],,,,,,,,
32,2014–2016 Oil Price Collapse,2014,2016,Energy Crisis,,country,false,SAU;RUS;NGA;VEN;CAN,,,,-3.700,50.000,,,,4,UNCERTAIN,UNCERTAIN,0.37,UNCERTAIN,3.700,,5,0,1,,IMF WEO; World Bank Global Economic Prospects,,,,,,,,
33,2015–2016 Global Trade Slowdown,2015,2016,Financial Crisis,Trade War,global,false,,Global,,,2.600,,,,,4,UNCERTAIN,UNCERTAIN,0.26,UNCERTAIN,2.600,,0,0,0,,WTO; IMF WEO 2016,,,,,,,,
34,2016 North Korea Nuclear Tests & Sanctions,2016,,Sanctions,,country,false,PRK;KOR;CHN,,,,-4.100,,,,,2,UNCERTAIN,UNCERTAIN,0.41,UNCERTAIN,4.100,,3,0,1,,UN Panel of Experts Reports; RAND Corporation,,,,,,,,
35,"2017 Hurricane Season (Harvey, Irma, Maria)",2017,2017,Natural Disaster,,regional,false,USA;PRI;DOM;HTI;JAM;BHS,Caribbean islands,,,-14.000,,,,,4,UNCERTAIN,UNCERTAIN,1.00,UNCERTAIN,14.000,,6,0,1,,CBO; FEMA PDNA; World Bank Caribbean assessment,,,,,,,,
36,2019 Hong Kong Protests,2019,2019,Geopolitical,,country,false,HKG,,,,-2.900,,,,,4,UNCERTAIN,UNCERTAIN,0.29,UNCERTAIN,2.900,,1,0,1,,Hong Kong Census and Statistics Department; IMF Article IV 2019,,,,,,,,
37,2021 Evergrande Default (See Event 24 for full),,,,,country,false,,,,,,,,,,,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,,,0,0,0,,,,,,,,,,
38,2022 Russia Gas Nord Stream Pipeline Sabotage,2022,2022,Energy Crisis,Shipping Disruption,regional,false,DEU;FRA;ITA;ESP;NLD;POL;BEL,EU,,,1.500,,,,,4,UNCERTAIN,UNCERTAIN,0.15,UNCERTAIN,1.500,,7,0,5,,European Commission; Bruegel Energy Tracker[^86],,,,,,,,
39,2022 Pakistan Economic Crisis & IMF Bailout,2022,2023,Financial Crisis,,country,false,PAK,,,,0.200,,,,,4,UNCERTAIN,UNCERTAIN,0.02,UNCERTAIN,0.200,,1,0,1,,IMF Pakistan Country Report; World Bank Pakistan Update,,,,,,,,
40,2023 Israel-Gaza Conflict & MENA Economic Impact,2023,,War,,regional,false,ISR;PSE;JOR;LBN;EGY;SAU;ARE;TUR,regional MENA,,,1.200,,,,,3,UNCERTAIN,UNCERTAIN,0.12,UNCERTAIN,1.200,,8,0,1,,IMF WEO 2024; European Parliament EPRS[^114],,,,,,,,
41,2024–2025 Taiwan Strait Tensions & Semiconductor Risk,2024,2026,Semiconductor Crisis,,regional,true,TWN;USA;KOR;JPN;DEU;FRA;ITA;ESP;NLD;POL;BEL,EU,,,-2.800,,,,,3,UNCERTAIN,CP:TaiwanStrait;TWN:semiconductors,0.28,UNCERTAIN,2.800,,11,0,1,,Efficio Consulting[129][130]; ScienceDirect[^131]; Hilltoponline 2026[^132],,,,,,,,
42,2025–2026 Middle East Energy Shock,2025,2026,Energy Crisis,,regional,false,DEU;FRA;ITA;ESP;NLD;POL;BEL;SAU;ARE;ISR;IRN;IRQ,EU;Middle East,,,3.000,,,,,3,UNCERTAIN,UNCERTAIN,0.30,UNCERTAIN,3.000,,12,0,5,,ECB Speech May 2026[^133]; European Commission Germany Forecast[^92],,,,,,,,
