id,slug,name_ru,name_en,type,start_date,end_date,countries_iso3,industries_geds,shock_mechanism,channels,chokepoints,delta_gdp_pct,delta_output_pct,delta_trade_pct,delta_cpi_pct,delta_unemployment_pct,shortage_indicator,recovery_weeks,companies,loss_usd_billions,sources,in_geds_graph,target_node_geds,shock_magnitude_geds,duration_weeks_geds,notes
11,gfc-auto-collapse-2008-2009,Коллапс автопроизводства из-за глобального финансового кризиса (2008-09),Global Financial Crisis automotive production collapse (2008-2009),financial,2008-09-15,2010-06-30,USA;JPN;DEU;KOR;MEX,automotive,Global credit freeze + collapsed consumer demand + Big Three (GM/Chrysler) bankruptcies,Auto financing collapse; correlated export-demand contagion across major producers,missing,missing,0.13,missing,missing,missing,missing,78,GM;Chrysler;Toyota;Honda;Hyundai,missing,OICA World Motor Vehicle Production 2009; US Federal Reserve G.17 2009-04-15; IHS Global Insight Jan 2009; IMF WEO April 2009; BIS 79th Annual Report 2009,yes,USA:automotive,0.47,39,"UPDATED with OICA/Fed G.17 sourcing (was an unmapped pure-financial placeholder; in_geds_graph was 'no'). Global auto output -13.1% YoY (OICA 2009 vs 2008); USA SAAR trough -47.3% (Fed G.17, derived: (8.67-4.57)/8.67). JPN/DEU/KOR/MEX were correlated independent demand shocks (see cascade_spatial.csv), not a propagated cascade from USA."
12,russia-ukraine-2022,Война РФ-Украина (с 2022),Russia-Ukraine war 2022-,geopolitical-energy-grain,2022-02-24,missing,RUS;UKR;DEU;global,energy;agriculture;automotive,Full-scale invasion + Western sanctions + grain corridor disruption,European gas import collapse;Black Sea grain;sanctions on Russian exports,missing,missing,missing,missing,0.550,0.022,high,missing,Gazprom;Kalashnikov;Cargill;ADM,missing,FAO Food Price Index 2022; IEA World Energy Outlook 2022; IMF WEO October 2022,no,missing,missing,missing,RUS and UKR not in GEDS graph (need expansion); 55% wheat price spike per FAO; energy partial map possible to DEU:energy
13,sars-2003,Эпидемия SARS,SARS epidemic (2003),pandemic-demand,2003-03-01,2003-07-31,CHN;HKG;TWN;SGP,tourism;aviation;consumer_goods,Demand/services shock; manufacturing base unaffected,Travel collapse; retail demand drop,,missing,0.0,missing,missing,missing,low,16,Cathay Pacific;HK retail,13,He & Siu HKU 2004; Keogh-Brown & Smith 2008; World Bank WP4466 2008,no,,,,"NEAR-MISS for manufacturing: Pearl River Delta production and logistics continued normally (2003 port throughput +17.9% y/y). Global supply chains held; hit was services demand (HK retail bottomed May, recovered by end-July). No US inflation attribution published. Out of graph: services/demand-side shock outside the supply-propagation scope."
14,kobe-earthquake-1995,Землетрясение в Кобе,Kobe/Hanshin earthquake (Jan 1995),natural-disaster-port,1995-01-17,1995-12-31,JPN,ports;shipping;electronics,Port destruction: all container terminals damaged,Container rerouting to Osaka/Yokohama and foreign ports,,missing,missing,-0.8,missing,missing,medium,104,Port of Kobe,100,Chang 2000; Edgington 2016; Moody's 2025 retrospective,no,,,,"Japan's largest container port effectively shut: Feb 1995 exports ~20% of prior year. National manufacturing dip was brief; traffic permanently diverted (Kobe never regained #6 world rank - structural loss, not cascade). Out of graph: JPN has no shipping/port node in the current 12x6 graph and the 1995 economy predates the 2019 calibration."
15,eyjafjallajokull-2010,Извержение Эйяфьятлайокудль,Eyjafjallajökull eruption (Apr 2010),natural-disaster-aviation,2010-04-15,2010-04-22,ISL;DEU;GBR;FRA,aviation;electronics;automotive,European airspace closure: >84% flights cancelled at peak; ~40% of EU air cargo affected,"Air-freight JIT parts (electronics, auto)",,missing,0.0,missing,missing,missing,low,2,BMW;Nissan;airlines,5,IATA 2010; Oxford Economics 2010; Eurocontrol 2010,no,,,,"8-day airspace closure, 107k flights cancelled (~48% of zone traffic). Airlines lost ~$1.7-1.8bn; BMW/Nissan reported brief line stoppages from missing air-freighted parts. NEAR-MISS for manufacturing: sea freight (99% of EU goods volume) unaffected; production loss not measurable at national scale. Out of graph: no aviation nodes."
16,uk-fuel-driver-shortage-2021,Топливный кризис в Великобритании,UK fuel/HGV driver shortage (Sep-Oct 2021),labor-logistics,2021-09-24,2021-10-31,GBR,logistics;consumer_goods,HGV-driver labor shortfall ~45-50k (~15% of pool); panic buying drained forecourts,Retail fuel distribution,,missing,0.0,missing,missing,missing,low,5,BP;Esso;Army deployment,missing,BBC 2021; Logistics UK 2021; CSRF 2022,no,,,,"NEAR-MISS: 0% production capacity offline - refineries/terminals had ample stocks; the constraint was drivers + panic demand (forecourts dry within days, military tankers deployed Oct 4, normalized by end-Oct). No published production or US-inflation impact. Out of graph: GBR is not a graph country; labor-pool shocks are outside the model's mechanism set."
17,germany-floods-2021,Наводнение в Германии,Germany Ahr valley floods (Jul 2021),natural-disaster,2021-07-14,2021-09-30,DEU,infrastructure;consumer_goods,"Catastrophic regional flooding (NRW, Rhineland-Palatinate)",Regional infrastructure; rail links,,missing,0.0,missing,missing,missing,low,12,reinsurers ~EUR8bn insured,40,ING Economics 2021; GDV 2021; Destatis 2021,no,,,,"NEAR-MISS for industry: Rhine-based majors (BASF, Bayer, Thyssenkrupp) explicitly NOT hit; damage concentrated in residential/infrastructure. National industrial output showed no flood-attributable national-scale loss. Out of graph: no measurable source-side industry shock to encode - kept as the cleanest documented false-positive in the set."
18,china-gallium-germanium-2023,Экспортный контроль Китая: галлий/германий,China gallium/germanium export controls (Aug 2023),export-control-materials,2023-08-01,2023-12-31,CHN;USA;JPN;DEU,semiconductors;electronics,"Export licensing: China = 98% of primary gallium, ~60% germanium; exports fell to ~0 for ~2 months","Compound-semiconductor materials (GaAs, GaN, optics)",,missing,0.0,missing,missing,missing,low,10,AXT;Freiberger;chipmakers,missing,USGS Minerals Yearbook 2022/MCS 2024; CRMA 2024; US ITC trade data 2023,no,,,,"NEAR-MISS: exports Jul->Aug 6876kg->0 (Ga), then licensing resumed (Oct 227kg). Feared chip disruption did not materialize: tiny volumes, downstream stockpiles, recycling and substitution absorbed it; prices spiked then eased. Out of graph: raw-material export channel (not production capacity) - below the granularity of the current industry nodes."
19,colonial-pipeline-2021,Кибератака на Colonial Pipeline,Colonial Pipeline ransomware attack,cyber-infrastructure,2021-05-07,2021-05-12,USA,energy;logistics,DarkSide ransomware forced proactive shutdown of 5500-mile pipeline,Gasoline and diesel distribution to US East Coast (45% of supply),missing,missing,0.0,missing,0.002,missing,low,1,Colonial Pipeline;DarkSide,0.03,DOE CESER 2021; CISA advisory AA21-131A; KU study 2021,no,missing,missing,missing,6-day shutdown; 2.5M b/d = 45% East Coast fuel. KU (Tsvetanov 2021) found final gasoline price effect ~$0.07/gallon (far less than media claimed). Ransom paid $4.4M. No industrial production loss. Out of graph: GEDS has no energy-distribution nodes.
20,la-port-congestion-2021,Заторы в порту Лос-Анджелеса,LA/Long Beach port congestion 2021,logistics-congestion,2021-09-01,2022-03-31,USA,shipping;consumer_goods;electronics;automotive,COVID demand surge + labor shortages + blank sailings + container imbalance,US import supply chain; container dwell times 7-9 days (vs 2-day norm),missing,missing,0.0,missing,0.050,missing,high,26,Maersk;COSCO;PSA;Marine Exchange of Southern California,missing,Marine Exchange SoCal Oct 2021 (109 ships); Port of LA 2021 Annual Report 10.7M TEU; JP Morgan 2022,partial,CHN:electronics,0.30,26,Peak 109 container ships waiting off SoCal coast Oct 2021. Daily throughput -20-30% vs 2019. Dwell times 4x normal. Primarily USA import bottleneck affecting CHN electronics/goods flowing to US; source factories in CHN at full production.
21,baltimore-bridge-2024,Обрушение моста Фрэнсис Скотт Ки,Baltimore Francis Scott Key Bridge collapse,infrastructure-logistics,2024-03-26,2024-06-10,USA,shipping;automotive;coal,Container ship Dali suffered power failure and struck bridge pier; 11-week port closure,Coal; vehicles; sugar exports through Port of Baltimore,missing,missing,0.0,missing,0.015,missing,low,11,Maersk;Hapag-Lloyd;car carriers;Maryland DOT,1.155,Maryland DOT/MDTA Forecast Update June 2024; Wikipedia FSK Bridge collapse; US DOT 2024 response,no,missing,missing,missing,"$15M/day economic impact per Maryland estimates; 8,000 jobs directly affected; 11-week closure. Not a semiconductor/electronics hub. Harbor crossings 8.5% below baseline (CDM Smith Apr-May 2024). Out of graph."
22,hokkaido-earthquake-2018,Землетрясение Хоккайдо (Ибури 2018),Hokkaido Eastern Iburi earthquake 2018,natural-disaster-energy,2018-09-06,2018-09-21,JPN,energy;petrochemicals,M6.7 collapsed Tomato-Atsuma coal plant (1.65 GW); cascading shutdown of all Hokkaido power plants,All Hokkaido industry; Idemitsu 150k b/d Tomakomai refinery; 2.95M household blackout,missing,missing,0.001,missing,missing,missing,medium,2,Hokkaido Electric Power (HEPCO);Idemitsu;Cosmo Energy,missing,METI Japan 2018 press release; S&P Global Commodity Insights Sept 2018; Phys.org Sept 2018,partial,JPN:automotive,0.15,2,Near-total blackout of Hokkaido island (~2 days). Idemitsu Tomakomai 150k b/d refinery offline. JPN national-level impact small: Hokkaido ~4% of Japan industrial output. Power restored within 2 weeks. Partial map to JPN:automotive for calibration but tiny signal.
23,chichi-earthquake-1999,Землетрясение Чи-Чи на Тайване 1999,Taiwan Chi-Chi earthquake 1999,natural-disaster,1999-09-21,1999-12-31,TWN,semiconductors;electronics,M7.3 earthquake struck central Taiwan; power outages across Hsinchu Science Park,Semiconductor fab operations (TSMC;UMC;Winbond); wafer-in-process losses,CP:TaiwanStrait,missing,0.04,missing,missing,missing,high,12,TSMC;UMC;Winbond;ACER,10,Preventionweb 2024 anniversary; TSMC historical production records; YouTube TSMC earthquake case study; SIA 1999,yes,TWN:semiconductors,0.50,4,"TSMC lost 17,000 wafers = 50% monthly production. Total semi industry ~$10B losses. Hsinchu Science Park (>50% of Taiwan semi sales) affected by rolling outages. Taiwan national GDP ~4% impact per Cabinet. Industry recovery ~12 weeks to full pre-quake output."
24,taiwan-earthquake-2024,Землетрясение на Тайване апрель 2024,Taiwan earthquake April 2024,natural-disaster,2024-04-03,2024-04-30,TWN,semiconductors;electronics,M7.4 earthquake off Hualien; TSMC and other fabs evacuated; some wafer damage,Semiconductor fab operations; damage to wafers in-process at N18 fabs,CP:TaiwanStrait,missing,0.0,missing,missing,missing,low,2,TSMC;PSMC;Powerchip;MediaTek,1,TSMC April 2024 statement; Reuters April 2024; Semiwiki 60k wafer estimate,no,missing,missing,missing,"NEAR-MISS. TSMC official: <1% Q1 shipment impact. Some sources cite 60,000+ wafers damaged (later qualified). N18 fabs evacuated but no structural damage. Largest Taiwan quake in 25 years yet supply chain continuity maintained. Out of graph (no measurable output loss to calibrate against)."
25,henan-floods-2021,Наводнение в провинции Хэнань 2021,Henan China floods July 2021,natural-disaster,2021-07-17,2021-09-30,CHN,consumer_goods;automotive;agriculture,Extreme rainfall (201.9mm/hr peak at Zhengzhou); 6 industrial zones flooded; logistics hub disrupted,Inland logistics hub; Foxconn/iPhone assembly; automotive manufacturing (Zhengzhou),missing,missing,0.001,missing,missing,missing,medium,8,Foxconn;Yutong Bus;BYD suppliers,13.6,Chinese NDA: RMB 88.5B direct losses; SCMP July 2021; Reuters July 2021,partial,CHN:electronics,0.10,4,RMB 88.5B ($13.6B) direct economic losses. Zhengzhou is major rail logistics node. Foxconn iPhone plant briefly disrupted. BYD and Yutong Bus operations affected. CHN national industrial output impact <0.1% of GDP but local supply chain ripple significant.
26,thailand-floods-2011,Наводнение в Таиланде 2011 (HDD-кризис),Thailand floods 2011 HDD crisis,natural-disaster,2011-10-01,2012-03-31,THA,electronics;automotive;manufacturing,"7 industrial estates flooded in Ayuthaya and Pathum Thani; 14,500 factories affected",HDD production (40% global share from THA); auto parts; electronics manufacturing,missing,missing,0.126,missing,missing,missing,high,26,Western Digital;Seagate;Honda;Toyota;Nikon,46.5,World Bank Thailand floods DALA Dec 2011 (THB 1.43T = $46.5B); IPC Dec 2011,no,missing,missing,missing,World Bank: $46.5B losses = 12.6% of Thai GDP. WD/Seagate plants flooded; global HDD prices 2-3x for 6+ months. Manufacturing sector: 70% of damage and losses. Out of graph: THA not in GEDS. Benchmark for node THA:electronics upon graph expansion.
27,hurricane-harvey-2017,Ураган Харви 2017,Hurricane Harvey 2017 US Gulf Coast,natural-disaster,2017-08-25,2017-09-30,USA,energy;petrochemicals;refining,Category 4 landfall + flooding; 34% drop in Gulf Coast refinery runs,US petroleum refining (31% of US capacity in Texas); petrochemical supply chain,missing,missing,0.009,missing,missing,missing,medium,6,ExxonMobil;Valero;Marathon;Dow;LyondellBasell,125,EIA 2017 Harvey briefings; Federal Reserve FEDS Notes Oct 2017; NOAA $125B damage estimate,no,missing,missing,missing,US industrial production -0.9% Aug 2017 (0.75pp storm-related per Fed). Gulf Coast refinery reduction 3.2M b/d = 34%. Petrochemical prices +40-70% (polyethylene). Not in GEDS graph: no refining/energy nodes; USA manufacturing not directly shocked at calibration-relevant scale.
28,hurricane-katrina-2005,Ураган Катрина 2005,Hurricane Katrina 2005 Gulf of Mexico,natural-disaster,2005-08-29,2006-06-30,USA,energy;refining;chemicals,Category 3 landfall; destroyed offshore infrastructure; 95% Gulf oil production shut-in,US Gulf oil/gas production; refining capacity (1/3 of US); LNG terminal damage,missing,missing,missing,missing,missing,missing,medium,39,Murphy Oil;Chalmette Refining;Chevron;ConocoPhillips,125,EIA STEO Sep 2005 + Nov 2005; CRS RL33124 Katrina/Rita; MMS Gulf shut-in data,no,missing,missing,missing,95% Gulf oil production shut-in initially; 1/3 US refining capacity offline at peak. Nov 2005: 53% Gulf oil still shut-in. Natural gas prices spiked dramatically. Not in GEDS graph: energy nodes absent; 2005 pre-dates 2019 calibration baseline.
29,rhine-drought-2018,Засуха на Рейне 2018,Rhine river low water crisis 2018,natural-disaster-logistics,2018-06-01,2018-12-31,DEU;NLD,chemicals;automotive;steel,132 low-water days on Rhine (record); barge draught limits imposed; ARA-to-Ruhr freight interrupted,German industrial supply via Rhine (ARA-to-Ruhr bulk freight: coal;chemicals;minerals),missing,missing,0.002,0.010,missing,missing,medium,26,BASF;ThyssenKrupp;Covestro;Shell,2.7,Destatis/Kiel IfW 2018; ABN AMRO Rhine analysis; CNBC July 2019; Frontiers UNCHAIN appendix,partial,DEU:automotive,0.35,26,Rhine = ~80% of German inland freight. Chemical/pharma sector -10% production Sep-Nov (Berenberg). ThyssenKrupp: 200kt less steel. German GDP Q3 -0.2% (Kiel IfW). EUR 2.4B damage Germany + EUR 295M Netherlands. Maps to DEU:automotive via materials bottleneck.
30,rhine-drought-2022,Засуха на Рейне 2022,Rhine river low water crisis 2022,natural-disaster-logistics,2022-06-01,2022-10-31,DEU;NLD,chemicals;energy;automotive,Drought compounding energy crisis; Kaub gauge near 30cm (critical minimum for navigation),Coal barge supply for power plants; chemical raw materials; BASF Ludwigshafen,missing,missing,0.002,0.012,missing,missing,medium,20,BASF;RWE;Covestro;Lanxess,2.5,BfG Federal Institute of Hydrology Aug 2022; ABN AMRO Rhine 2022; ICIS July 2022; DW Aug 2022,partial,DEU:automotive,0.35,20,Critical low-water at Kaub Jul-Sep 2022; compounded by energy crisis + high coal prices. BASF flagged production slowdown. EUR 2-3B estimated impact (structural similarity to 2018). Partial GEDS map: materials bottleneck to DEU:automotive.
31,red-sea-crisis-2023,Атаки хуситов в Красном море,Red Sea shipping crisis Houthi attacks 2023,geopolitical-logistics,2023-11-01,2024-12-31,global,shipping;consumer_goods;electronics;automotive,Houthi attacks on commercial vessels; 98% of major carriers rerouting via Cape of Good Hope,Global maritime trade via Suez Canal (12-15% of global seaborne trade),CP:Suez,missing,0.0,missing,0.005,missing,medium,missing,Maersk;MSC;CMA CGM;Evergreen;COSCO,200,UNCTAD osginf2024d2 Feb 2024; Lloyd's List 2024; Clarksons Research container transits,partial,CP:Suez,0.65,52,Suez Canal transits -42% from peak; weekly container capacity -67% at worst. Asia-Europe transit time +10-14 days. Container spot rates 3-4x normal Jan 2024. Impact: price and lead-time shock; no manufacturing node shutdown. Maps to CP:Suez chokepoint (same as Suez-2021).
32,renesas-fire-2021,Пожар на заводе Renesas (Naka 2021),Renesas Naka factory fire March 2021,industrial-accident,2021-03-19,2021-07-20,JPN,semiconductors;automotive,Electrical fault in N3 Building (300mm line); fire destroyed 23 machines in 600m2 cleanroom,Automotive MCU supply (Renesas = ~30% global auto MCU market); 14-week recovery,missing,missing,0.005,missing,missing,missing,high,14,Renesas;Toyota;Honda;Nissan;GM;Ford,missing,Renesas press releases Update 1-10 2021; Reuters Apr-Jul 2021; The Register Apr 2021; Korea Times,partial,JPN:automotive,0.30,14,300mm fab N3 line offline March 19. 1600+ workers daily to decontaminate. Production resumed April 17; 88% capacity end May; 100% June 24. Renesas ~30% of global auto MCU -> compounded 2021 chip shortage. Mapped to JPN:automotive as downstream output node.
33,taiwan-drought-2021,Засуха на Тайване 2021,Taiwan water shortage 2021 semiconductor risk,natural-disaster-water,2021-01-01,2021-06-30,TWN,semiconductors,Worst drought since 1964; reservoirs below 20%; TSMC required 17% water use reduction,Semiconductor fab ultrapure water consumption (Hsinchu and Taichung science parks),CP:TaiwanStrait,missing,0.0,missing,missing,missing,low,22,TSMC;UMC;Hsinchu Science Park Authority,0,Taiwan Ministry of Economic Affairs May 2021; DW May 2021 drought coverage; The Diplomat 2024 water risk,no,missing,missing,missing,"NEAR-MISS. Water trucks deployed; parks required -17% water consumption. TSMC maintained FULL output: exports +46.3% Jan 2021, +24.4% March (official MoEA data). Production never curtailed. Clean documented near-miss for water-risk scenario planning."
34,notpetya-2017,Кибератака NotPetya (Maersk и логистика),NotPetya cyberattack Maersk global logistics 2017,cyber-supply-chain,2017-06-27,2017-08-31,global;UKR,shipping;pharmaceuticals;consumer_goods,Destructive NotPetya malware entered via Ukrainian tax software; spread to global MNCs,Global shipping (Maersk ~18% container capacity); pharma (Merck); consumer goods (Reckitt;Mondelez),missing,missing,0.0,missing,missing,missing,medium,5,Maersk;Merck;Reckitt Benckiser;FedEx/TNT;Mondelez,10,Maersk Q2 2017 earnings ($200-300M impact); CFR 2017 review; SecurityWeek Nuance $90M; US/UK attribution 2018,no,missing,missing,missing,"Maersk: $200-300M impact; 50,000 computers reinstalled; ~10-day near-total shipping shutdown. Total $10B across all companies. Not in GEDS graph: no shipping nodes; manufacturing disruption was indirect (logistics delay not fab shutdown)."
35,kaohsiung-earthquake-2016,Землетрясение Каосюн-Тайнань 2016,Taiwan Kaohsiung-Tainan earthquake 2016,natural-disaster,2016-02-06,2016-04-30,TWN,semiconductors;electronics,M6.4 near Tainan; TSMC Tainan fabs briefly evacuated; some wafers damaged,12-inch wafer processing at TSMC Tainan fabs (14nm/16nm lines),CP:TaiwanStrait,missing,0.0,missing,missing,missing,low,4,TSMC;UMC,1,Reuters Feb 2016 (TSMC <1% Q1 impact); GlobalTradeMag 2016 Resilinc analysis; Semiwiki estimates,no,missing,missing,missing,"NEAR-MISS. TSMC official: <1% impact on Q1 2016 shipments. ~120,000 wafers delayed not destroyed. Advanced fabs structurally intact. Very limited measured production loss - below calibration signal/noise threshold. Contrast with Chi-Chi 1999 (50% monthly production)."
36,yantian-port-2021,Закрытие порта Яньтянь (COVID 2021),Yantian port COVID closure May-June 2021,pandemic-logistics,2021-05-21,2021-07-31,CHN,shipping;electronics;consumer_goods,COVID-19 worker infection at terminal; west terminal closed for disinfection and quarantine,Pearl River Delta container shipping (Yantian >13M TEU annual; 19 mainline services impacted),missing,missing,0.0,missing,missing,missing,medium,6,Maersk;MSC;CMA CGM;Hapag-Lloyd;COSCO;YICT,missing,Maersk customer advisory May 27 2021; Maersk Asia-Pacific update June 15 2021; Reuters June 3 2021,partial,CHN:electronics,0.50,3,"West terminal closed May 21-June 10 (3 weeks). East terminal ~50% capacity. 40+ ships at anchor. Congestion cascaded to HK (yard density 93%), Nansha (100%). 19 mainline services disrupted. Primarily shipping-delay shock to CHN electronics output channel; manufacturing nodes at full production."
37,ningbo-port-2021,Закрытие терминала Мэйшань (Нинбо август 2021),Ningbo Meishan terminal closure August 2021,pandemic-logistics,2021-08-11,2021-08-25,CHN,shipping;electronics;consumer_goods,COVID-19 case at terminal worker; Meishan Island Container Terminal (MSICT) locked down,Eastern China container throughput; Ningbo-Zhoushan = world largest port by tonnage,missing,missing,0.0,missing,missing,missing,medium,4,Maersk;Hapag-Lloyd;Flexport;COSCO,missing,Maersk Aug 12 2021 advisory (Update 1-6); Supply Chain Dive Aug-Sep 2021; Lloyd's List Aug 16 2021,partial,CHN:electronics,0.35,2,Meishan terminal closed Aug 11-25 (2 weeks). Multiple carriers omitted Ningbo. Backlog persisted weeks post-reopening. Meishan = 1 of 4 major Ningbo terminals. Source-side: shipping lane output for CHN:electronics. No manufacturing production loss.
38,shanghai-lockdown-2022,Локдаун в Шанхае (март-июнь 2022),Shanghai COVID lockdown March-June 2022,pandemic-supply,2022-03-28,2022-06-01,CHN,automotive;electronics;consumer_goods,Zero-COVID citywide lockdown; factory closures; truck driver shortages; port congestion,Auto+electronics manufacturing; Shanghai Port (20% of China international trade),missing,missing,0.029,missing,missing,missing,high,8,Tesla;Volkswagen;SAIC;Foxconn;Pegatron;Apple,50,Fortune May 2022; PlantemMoran May 2022; China NBS April 2022 IP (-2.9% y/y); MFAT NZ Trade Report May 2022,yes,CHN:electronics,0.20,10,Shanghai = 20% of China international trade. 344 ships waiting at Shanghai port peak. China industrial production -2.9% y/y April 2022 (NBS). Tesla Giga Shanghai offline ~3 weeks. SAIC motor production -72% April. Electronics assembly (Foxconn/Pegatron) severely disrupted. Recovery gradual through July.
