slug,affected_country_iso3,affected_sector,onset_week,effect,magnitude_hint,source_url
renesas-naka-fire-2021,KOR,automotive,5,lead_time_increase,Korean OEMs affected via global MCU shortage intensification; Renesas CEO: customers feel pinch 'in around a month',https://www.telegraph.co.uk/technology/2021/03/21/renesas-fire-threatens-massive-impact-global-chip-supplies/
suez-canal-2021,EGY,agriculture,1,lead_time_increase,SE Asia food/spice imports and citrus exports to Asia delayed; USDA GAIN: canal navigation disrupted for one week,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Navigation+to+Resume+through+Suez+Canal+after+one+week+of+disruption_Cairo_Egypt_04-06-2021
suez-canal-2021,NLD,chemicals,2,lead_time_increase,Synthetic rubber and VAM shipments from Asia to Europe delayed ~7 days; force majeure notifications issued,https://www.icis.com/explore/resources/news/2021/03/25/10621311/suez-canal-still-blocked-some-asia-petrochemical-shipments-face-delays/
suez-canal-2021,DEU,automotive,2,lead_time_increase,JIT automotive component bottlenecks from China/India; billet steel prices +5-7%; S&P Global: supply chain vulnerability,https://www.spglobal.com/market-intelligence/en/news-insights/research/suez-canal-blockage-supply-chain-vulnerability
suez-canal-2021,GBR,consumer_goods,2,lead_time_increase,16M tonnes on 100s of ships delayed; Maersk: 1-week backlog to clear; 369 ships queued by Mar 29,https://think.ing.com/articles/ever-given-leaves-supply-chain-disruption-in-its-wake/
red-sea-crisis-2023,CHN,shipping,4,price_rise,Shanghai-Europe spot rates +256% Dec 2023–Feb 2024 (UNCTAD); SE Asia-Europe median vessel delay +310% by Jan 2024,https://documents1.worldbank.org/curated/en/099253002102539789/pdf/IDU10b8b59671dbc814cfc19c4a1299ff54854ba.pdf
red-sea-crisis-2023,DEU,automotive,10,shutdown,Tesla Grünheide suspends most production 2 weeks from Jan 29 2024; component shortages directly attributed to Red Sea rerouting,https://en.wikipedia.org/wiki/Red_Sea_crisis
red-sea-crisis-2023,BEL,automotive,10,shutdown,Volvo Cars Ghent plant halts 3 days late Jan 2024 due to component shortage from Red Sea disruption,https://en.wikipedia.org/wiki/Red_Sea_crisis
red-sea-crisis-2023,GBR,consumer_goods,8,lead_time_increase,S&P Global PMI: UK/eurozone supplier delivery times deteriorated for 1st time in year (Feb 2024); 12-18 days added to some routes,https://www.datamarnews.com/noticias/red-sea-crisis-pushes-up-delivery-times-for-european-manufacturers/
shanghai-lockdown-2022,CHN,automotive,1,shutdown,VW SAIC-Volkswagen Anting #1 plant drops 320→200 vehicles/day (-40%); Tesla Shanghai shut Apr 1; SAIC-VW idles Apr 1-5,https://carnewschina.com/2022/04/07/shanghai-lockdown-saic-manages-to-keep-production-ims-workers-sleep-in-the-factory-tesla-plant-suspended/
shanghai-lockdown-2022,KOR,automotive,3,output_loss,"Hyundai/Kia short on ACUs from Apr 18; ~1,200 vehicles unmade over one week at Ulsan; partial lines idled",https://koreajoongangdaily.joins.com/2022/04/25/business/industry/Shanghai-lockdown-Hyundai-Motor-Kia/20220425185655791.html
shanghai-lockdown-2022,TWN,electronics,3,lead_time_increase,IC chips/semiconductors and auto parts halted to E. China; 45% of Shanghai trucking capacity lost; Taiwan logistics re-routing,https://english.cw.com.tw/article/article.action?id=3221
shanghai-lockdown-2022,DEU,automotive,3,shutdown,VW: plants in Shanghai AND Jilin shut for weeks; BMW Brilliance Shenyang Dadong suspended; Toyota Jilin idle for a full month,https://observer.com/2022/04/shanghai-covid-lockdown-hurt-china-global-supply-chain/
wuhan-lockdown-2020,KOR,automotive,2,shutdown,Hyundai suspends all 7 South Korea plants from Feb 7; wiring harness stockout; Palisade/GV80 first affected Feb 4,https://koreajoongangdaily.joins.com/2020/02/03/industry/Supply-crunch-starts-to-squeeze-Hyundai-Motor/3073331.html
wuhan-lockdown-2020,JPN,automotive,3,output_loss,Nissan reduces production at Japan plants due to Chinese parts shortage,https://www.michiganstateuniversityonline.com/resources/supply-chain/coronavirus-impact-on-global-supply-chain/
wuhan-lockdown-2020,ITA,automotive,3,shutdown,"FCA warns European plant closure within 2-4 weeks if parts supply disrupted; FCA Italy suspends Melfi, Pomigliano, Cassino through Mar 27 (Feb signal)",https://jp.reuters.com/article/us-china-health-autos-factbox/factbox-carmakers-close-chinese-factories-because-of-coronavirus-idUSKBN1ZX0O6/
wuhan-lockdown-2020,USA,electronics,4,output_loss,Apple misses Q1 revenue guidance; Foxconn Shenzhen/Zhengzhou struggling to return to full production,https://www.michiganstateuniversityonline.com/resources/supply-chain/coronavirus-impact-on-global-supply-chain/
thailand-floods-2011,THA,electronics,0,shutdown,WD suspends Thailand ops Oct 10 protecting employees; Bang Pa-in and Navanakorn parks flooded; 60% of WD global HDD output shut,https://www.prnewswire.com/news-releases/wd-reports-impact-on-hdd-production-due-to-severe-flooding-in-thailand-131571123.html
thailand-floods-2011,USA,electronics,2,output_loss,Seagate SEC filing: HDD supply 110-120M vs 180M demand Q4 2011 (-33%); WD -60% HDD output; 30% industry shortfall (IHS),https://www.crn.com/news/storage/231902425/thailand-floods-to-lead-to-30-percent-shortfall-of-hard-drive-supply
thailand-floods-2011,USA,consumer_goods,4,price_rise,HDD prices tripled for some models; PC prices rising; Dell warns minimal supply through year-end; WD cost $199M,https://uk.pcmag.com/storage/67053/western-digital-floods-to-hurt-disk-drive-production-until-q3
thailand-floods-2011,JPN,automotive,4,output_loss,Toyota TMT reduced production; Japan+NA Toyota plants return to normal late Nov 2011 after Thai restart,https://www.toyota-global.com/company/history_of_toyota/75years/text/leaping_forward_as_a_global_corporation/chapter5/section5/item2.html
texas-winter-storm-2021,USA,chemicals,1,shutdown,Petrochemical plants along Gulf of Mexico shut; plastic resin shortage ripples into automotive and electronics packaging,https://wolfstreet.com/2021/03/17/shortages-of-semiconductors-plastics-backlogs-at-container-ports-and-the-texas-freeze-wreak-havoc/
texas-winter-storm-2021,USA,automotive,1,shutdown,Toyota San Antonio plant and GM facilities closed storm week; parts shortages extended production delays,https://comptroller.texas.gov/economy/economic-data/supply-chain/2021/auto.php
texas-winter-storm-2021,USA,semiconductors,1,shutdown,"Samsung, NXP, Infineon Austin fabs shutdown ~Feb 16; Samsung: 'couple of weeks' to restart; SEMI trade body confirms",https://www.reuters.com/article/technology/texan-chipmakers-face-slow-recovery-from-power-crisis-as-shortage-looms-idUSKCN2AU2JI/
texas-winter-storm-2021,USA,automotive,16,lead_time_increase,Semiconductor lead times reached 18+ weeks by May 2021 as Texas+Renesas+Malaysia compounded; IHS: 1.3M fewer vehicles Q1 2021,https://comptroller.texas.gov/economy/economic-data/supply-chain/2021/semiconductors.php
malaysia-semiconductor-2021,JPN,automotive,4,output_loss,Toyota cuts global Sep output 40% (360k units); CEO Kumakura cites Malaysia chip assembly + Vietnam wire harness simultaneously; 9 plants stopped,https://www.supplychaindive.com/news/toyota-cuts-production-due-to-chip-shortages/606487/
malaysia-semiconductor-2021,JPN,automotive,4,output_loss,Daihatsu cuts global output ~25% in Sep; Toyota SEC filing attributes cuts to SE Asia lockdowns (Malaysia + Vietnam),https://www.supplychaindive.com/news/toyota-cuts-production-due-to-chip-shortages/606487/
malaysia-semiconductor-2021,USA,automotive,8,output_loss,GM halts most N. American plants 1-2 weeks Sep 2021; chip lead times 48-52 weeks (NXP); ongoing 2021 chip crisis,https://en.wikipedia.org/wiki/2020%E2%80%932023_global_chip_shortage
malaysia-semiconductor-2021,DEU,automotive,8,lead_time_increase,NXP Muar plant closure: 52+ week lead times; STM32 MCU supply disrupted; European OEM production line stoppages,https://www.fusionww.com/insights/resources/the-greensheet-2021-2august-0
eu-energy-crisis-2021,DEU,chemicals,4,output_loss,BASF Ludwigshafen reduces output Q4 2021; logistics +€200M cost; force majeure on butac/acrylate/DINP; ACEA documents sector strain,https://www.acea.auto/news/energy-crisis-impact-on-competitiveness-of-eu-auto-sector/
eu-energy-crisis-2021,DEU,automotive,4,output_loss,German passenger car production -38% YoY Oct 2021 (VDA provisional); production lines shut for weeks,https://www.dw.com/en/germany-supply-chain-crisis-slows-economic-growth/a-59661859
eu-energy-crisis-2021,ESP,automotive,8,output_loss,Spanish industrial output pressured by energy costs; sector-level ACEA Q4 2021 data documents EU-wide auto strain,https://www.acea.auto/news/energy-crisis-impact-on-competitiveness-of-eu-auto-sector/
yantian-port-2021,CHN,shipping,0,shutdown,"Port at 30% capacity; dwell time 20-25 days (all-time high); >23,000 containers queued; 72% traffic drop Jun 16 vs prior week",https://www.supplychaindive.com/news/yantian-china-port-covid-charts-data-congestion-ships/602014/
yantian-port-2021,USA,consumer_goods,2,lead_time_increase,"FourKites: US imports down 11% week of Jun 6, 6% week of Jun 13; electronics/furniture/autos affected; late shipments rising",https://www.fourkites.com/blogs/fourkites-data-shows-yantian-port-shutdown-is-causing-delays-and-ripple-effects-in-the-us/
yantian-port-2021,GBR,electronics,3,lead_time_increase,Vessel delay 16+ days at Yantian affecting European/UK arrivals in coming weeks per Maersk customer advisory,https://www.maersk.com/news/articles/2021/06/16/new-levels-of-disruption
ningbo-port-2021,CHN,shipping,0,shutdown,Meishan terminal (~25% of Ningbo capacity) fully shut Aug 11; weekly port calls -70% (200→60 vessels) in 2 days; 141 ships anchored,https://www.freightwaves.com/news/more-supply-chain-delays-as-ningbo-port-congestion-worsens
ningbo-port-2021,USA,consumer_goods,2,lead_time_increase,Ningbo exports $385M/wk to US: Nike/Adidas garments + $236M IC boards; rollover rates 36% in Sep; congestion spreads to Shanghai,https://www.strategic-risk-global.com/operational-risk/china-port-restrictions-spells-further-supply-chain-disruption/1439960.article
ningbo-port-2021,CHN,electronics,1,lead_time_increase,Al Jazeera: 141 ships anchored Tue Aug 17; project44: gradual reopening could achieve normalcy by early Sep; rollover rates 36% Sep at Ningbo,https://www.aljazeera.com/economy/2021/8/18/china-port-congestion-worsens-as-ships-divert-away-from-ningbo
panama-canal-drought-2023,USA,energy,8,lead_time_increase,EIA: VLGC Houston-Chiba rates hit record $250/ton (week Sep 29); LNG cargoes -16% Q2 2023 YoY via canal; 17+ day waits for unreserved slots Aug 2023,https://www.eia.gov/todayinenergy/detail.php?id=60842
panama-canal-drought-2023,USA,agriculture,8,lead_time_increase,S. American grain/perishable exports to US East Coast constrained; avg 10-11 day wait northbound Nov 2023,https://blog.charmingtrim.com/how-the-2023-panama-canal-drought-impacted-the-supply-chain-in-2024
panama-canal-drought-2023,JPN,energy,8,lead_time_increase,IEA: US LNG to Asia via Panama -16% Q2 2023; rerouting via Suez or Cape Horn adds 2-4 weeks transit,https://www.ogj.com/general-interest/article/14305676/iea-panama-canal-congestion-to-slow-us-asia-lng-trade
henan-floods-2021,CHN,automotive,0,shutdown,Nissan Zhengzhou halts production Jul 20; resumes Fri Jul 23 (Fortune/Kyodo); Nissan Zhengzhou = 300k cars+engines/yr,https://fortune.com/2021/07/21/zhengzhou-china-flooding-iphone-rainfall-evacuation/
henan-floods-2021,CHN,automotive,0,lead_time_increase,SAIC Motor warns short-term logistics impact at Zhengzhou plant; plant not damaged but logistics disrupted,https://www.koreatimes.co.kr/world/20210723/from-coal-to-cars-chinese-floods-tangle-supply-chains
henan-floods-2021,DEU,shipping,1,lead_time_increase,Zhengzhou-Hamburg and China-Europe rail routes delayed 1-4 weeks; Zhengzhou station closed Jul 20-26,https://asstra.com/press-centre/news/2021/8/floods-hit-supply-chains-china-and-europe/
vietnam-covid-lockdown-2021,JPN,automotive,3,shutdown,Toyota halts Japan lines Jul 29-Aug 5 due to wire harness shortage; single COVID case at supplier factory Aug 4 triggers cascade; 40% global Sep cut,https://www.scribd.com/document/532537333/How-One-Covid-Case-Upended-Toyota
vietnam-covid-lockdown-2021,JPN,automotive,6,output_loss,Toyota SEC filing Aug 19: 9 plants stopped Sep; Toyota -40% (360k units); Daihatsu -25%; CEO cites Vietnam wire harnesses + Malaysia chips,https://www.supplychaindive.com/news/toyota-cuts-production-due-to-chip-shortages/606487/
vietnam-covid-lockdown-2021,USA,electronics,6,lead_time_increase,ON Semiconductor MOSFETs pushed to 2022 from Vietnam plants; Realtek lead times 32+ wks; Samsung/ON Semiconductor factories in Vietnam at limited capacity,https://www.fusionww.com/insights/resources/the-greensheet-2021-2august-0
vietnam-covid-lockdown-2021,JPN,automotive,23,output_loss,"Toyota extends Japan stoppages Dec 2021 as SE Asia parts still running short; lost production raised to 14,000 vehicles Dec",https://www.nippon.com/en/news/reu20211214KBN2IS2B3/
